id,code,name
op_university_279,UGMis,Universidad Gabriela Mistral
op_university_280,UGM,Universidad del Golfo de México
op_university_281,UGJ,Universidad de Guanajuato
op_university_282,UGirona,de Girona
op_university_283,UGimbernat,Gimbernat
op_university_284,UGA,Universidad de Guadalajara
op_university_285,UFVL,Universidad Favaloro
op_university_286,UCatC,Universidad Católica de Colombia
op_university_287,UCatCul,Universidad Católica de Culiacán
op_university_288,UCATECI,Universidad Católica del Cibao
op_university_289,UCATMM,Universidad Católica Madre y Maestra
op_university_290,UCatSM,Universidad Católica de Santa María
op_university_291,UCAZ,Universidad Carlos Albizu
op_university_292,UCB,Universidad Católica Boliviana San Pablo
op_university_293,UCBolivia,Católica Boliviana
op_university_294,UCC,Universidad Cooperativa de Colombia
op_university_295,UCCA,Universidad Católica de Córdoba
op_university_296,UExtrem,de Extremadura
op_university_297,UES,Universidad de El Salvador
op_university_298,UEP,Universidad de Puebla
op_university_299,UEMC,Europea Miguel Cervantes
op_university_300,UEM,Europea de Madrid
op_university_301,UEL,University of East London
op_university_302,UEES,Universidad de Especialidades Espíritu Santo
op_university_303,UED,Universidad Europeo Design
op_university_304,UEcuador,Central de Ecuador
op_university_305,UEC,Universidad Externado de Colombia
op_university_306,UCES,Universidad de Ciencias Empresariales y Sociales
op_university_307,UCESM,Universidad CES
op_university_308,UCET,Universidad Central del Este
op_university_309,UCF,"University of California, Santa Barbara"
op_university_310,UCG,Universidad Casa Grande
op_university_311,UCGO,Universidad Católica de Goiás
op_university_312,UCH,Cardenal Herrera
op_university_313,Uchile,de Chile
op_university_314,UCHO,Universidad Cristiana de Honduras
op_university_315,UDN,Universidad del Norte
op_university_316,UDMO,Universidad de Montemorelos
op_university_317,UDMAT,Universidad de Matanzas
op_university_318,UDMA,Universidad de Manisales
op_university_319,UDM,Universidad Do Minho
op_university_320,UDL,Universidad de Lodz
op_university_321,UDJMD,Universidad Dr. José Matías Delgado
op_university_322,UDIMA,Universidad a distancia de Madrid-UDIMA
op_university_323,UDH,Universidad de la Habana
op_university_324,UDGE,Université de Genève
op_university_325,UCO,Universidad Contemporánea Mondragón
op_university_326,UCoimbra,de Coimbra
op_university_327,UCOL,Universidad de Colima
op_university_328,UColombia,de Colombia
op_university_329,UComillas,Pontificia de Comillas
op_university_330,UCOR,Concordia University
op_university_331,UCordoba,de Córdoba
op_university_332,UCoruña,de la Coruña
op_university_333,UCosta,de Costa Rica
op_university_334,UCP,Universidad Católica Popular del Risaralda
op_university_335,UDAN,Universidad de Anáhuac
op_university_336,UDA,Universidad de los Andes
op_university_337,UD,Universidad de Deusto
op_university_338,UCYH,Universidad Cayetano Heredia
op_university_339,UCY,Universidad de Camagüey
op_university_340,UCVI,Universidad Central de las Villas
op_university_341,UCVenez,Católica de Venezuela
op_university_342,UCVE,Universidad Central de Venezuela
op_university_343,UCVA,Universidad César Vallejo
op_university_344,UCV,Universidad Católica de Valencia
op_university_345,UCSD,Universidad Católica de Santo Domingo
op_university_346,UCSG,Universidad Católica de Santiago de Guayaquil
op_university_347,UCurug,Católica de Uruguay
op_university_348,UCPEV,Universidad de Ciencias Pedagógicas Enrique José Varona
op_university_349,UCPeru,Católica de Perú
op_university_350,UCPE,Universidad Católica de Pereira
op_university_351,UDFJC,Universidad Distrital Francisco José de Caldas
op_university_352,UDG,Universidad de Guayaquil
op_university_353,UDGB,Università degli studi di Genova: Benvenuti
op_university_354,UCJSC,Universidad Centroamericana José Simeón Cañas
op_university_355,UCJC,Universidad Camilo José Cela
op_university_356,UCHond,Universidad Católica de Honduras
op_university_357,UDY,Universidad de Yacambú
op_university_358,UE,Universidad Europea
op_university_359,UEB,Universidad El Bosque
op_university_360,UCColón,Universidad Cristobal Colón
op_university_361,UCCI,Universidad Cardenal Cisneros
op_university_362,UCCH,Universidad de Concepción de Chile
op_university_363,UFRJ,Universidad Federal do Rio de Janeiro
op_university_364,UFSC,Universidad Femenina del Sagrado Corazón
op_university_365,UFV,Francisco de Vitoria
op_university_366,UCAndrés,Católica Andrés Bello
op_university_367,UCanarias,de Las Palmas de Gran Canaria
op_university_368,UCambridge,de Cambridge
op_university_369,UI1,Universidad Isabel I
op_university_370,UIA,Internacional de Andalucía
op_university_371,UIB,Ibero-Americana
op_university_372,UBalear,de les Illes Balears
op_university_373,UBAires,de Buenos Aires
op_university_374,UBA,Universidad Bicentenaria de Aragua
op_university_375,UJAT,Universidad Juárez Autónoma de Tabasco
op_university_376,UJaumeI,Jaume I
op_university_377,UJG,Universidad Jesuita de Guadalajara
op_university_378,UANE,Universidad Autónoma del Noreste
op_university_379,Uandina,Universidad Andina del Cusco
op_university_380,UAnahuac,Universidad Anáhuac
op_university_381,ULlull,Ramon Llull
op_university_382,ULON,Universidad de Londres
op_university_383,ULP,Universidad Louis Pasteur
op_university_384,UAEMEX,Universidad Autónoma del Estado de México
